Country Code,Country Name,Continent,Mobile Connectivity Subscore,Difference With Average MCS,Internet Connectivity Subscore,Difference With Average ICS,Landline Connectivity Subscore,Difference with Average LCS,Power Accessibility Subscore,Difference With Average PCS,Total Score,Difference With Average Total Score
MDA,"MOLDOVA, REPUBLIC OF",EUROPE,21.42,1.20,9.69,-0.43,10.76,5.50,24.65,5.83,66.52,12.11
MDG,MADAGASCAR,AFRICA,10.98,-9.24,0.51,-9.61,0.09,-5.17,3.58,-15.25,15.15,-39.26
MDV,MALDIVES,ASIA,27.11,6.90,7.96,-2.16,1.18,-4.08,24.98,6.15,61.22,6.81
MEX,MEXICO,NORTH AMERICA,23.26,3.05,9.32,-0.80,2.28,-2.98,24.81,5.99,59.66,5.25
MHL,MARSHALL ISLANDS,AUSTRALIA,0.00,-20.21,2.10,-8.02,0.00,-5.26,13.94,-4.88,16.04,-38.37
MKD,MACEDONIA,EUROPE,24.15,3.94,15.57,5.45,2.65,-2.61,24.75,5.93,67.12,12.71
MLI,MALI,AFRICA,15.96,-4.25,0.57,-9.55,0.11,-5.15,4.15,-14.67,20.79,-33.62
MLT,MALTA,EUROPE,24.44,4.23,18.90,8.78,13.75,8.49,25.00,6.18,82.08,27.67
MMR,MYANMAR (Burma) ,ASIA,0.34,-19.87,0.08,-10.04,0.13,-5.13,12.20,-6.62,12.75,-41.66
MNE,MONTENEGRO,EUROPE,29.32,9.11,11.25,1.13,10.09,4.83,25.00,6.18,75.66,21.25
MNG,MONGOLIA,ASIA,24.00,3.79,3.06,-7.06,0.96,-4.30,21.55,2.73,49.57,-4.84
MNP,NORTHERN MARIANA ISLANDS,,0.00,-20.21,0.00,-10.12,14.27,9.01,21.55,2.73,35.82,-18.59
MOZ,MOZAMBIQUE,AFRICA,9.04,-11.17,1.25,-8.87,0.05,-5.21,3.75,-15.07,14.09,-40.32
MRT,MAURITANIA,AFRICA,23.07,2.86,1.20,-8.92,0.27,-4.99,4.55,-14.27,29.09,-25.32
MUS,MAURITIUS,AFRICA,24.00,3.79,8.50,-1.62,10.63,5.37,25.00,6.18,68.13,13.72
MWI,MALAWI,AFRICA,6.23,-13.98,0.68,-9.44,0.14,-5.12,2.18,-16.65,9.22,-45.19
MYS,MALAYSIA,ASIA,25.18,4.97,16.89,6.77,2.20,-3.06,24.83,6.00,69.10,14.69
NAM,NAMIBIA,AFRICA,24.00,3.79,3.48,-6.64,0.97,-4.29,10.93,-7.90,39.38,-15.03
NCL,NEW CALEDONIA,,24.00,3.79,12.60,2.48,10.33,5.07,13.94,-4.88,60.87,6.46
NER,NIGER,AFRICA,6.92,-13.29,0.25,-9.87,0.07,-5.19,2.33,-16.50,9.57,-44.84
NGA,NIGERIA,AFRICA,16.40,-3.81,7.20,-2.92,0.09,-5.17,12.00,-6.82,35.69,-18.72
NIC,NICARAGUA,NORTH AMERICA,20.42,0.21,3.00,-7.12,0.60,-4.66,18.43,-0.40,42.44,-11.97
NLD,NETHERLANDS,EUROPE,24.93,4.72,27.22,17.10,13.75,8.49,25.00,6.18,90.89,36.48
NOR,NORWAY,EUROPE,24.87,4.66,28.02,17.90,12.42,7.16,25.00,6.18,90.31,35.90
NPL,NEPAL,ASIA,10.28,-9.93,2.38,-7.74,0.42,-4.84,19.08,0.25,32.15,-22.26
NZL,NEW ZEALAND,AUSTRALIA,24.47,4.26,24.14,14.02,13.69,8.43,25.00,6.18,87.29,32.88
OMN,OMAN,ASIA,27.86,7.65,10.75,0.63,1.37,-3.89,23.53,4.71,63.51,9.10
PAK,PAKISTAN,ASIA,17.19,-3.03,2.40,-7.72,0.47,-4.79,22.84,4.02,42.90,-11.51
PAN,PANAMA,NORTH AMERICA,28.84,8.63,12.03,1.91,1.98,-3.28,22.06,3.24,64.91,10.50
PER,PERU,SOUTH AMERICA,24.00,3.79,10.43,0.31,1.46,-3.80,21.28,2.45,57.16,2.75
PHL,PHILIPPINES,ASIA,24.00,3.79,7.50,-2.62,0.48,-4.78,20.83,2.00,52.81,-1.60
PLW,PALAU,AUSTRALIA,21.27,1.06,0.00,-10.12,12.48,7.22,13.94,-4.88,47.69,-6.72
PNG,PAPUA NEW GUINEA,AUSTRALIA,8.35,-11.86,0.38,-9.73,0.24,-5.02,3.64,-15.19,12.61,-41.80
POL,POLAND,EUROPE,25.37,5.16,18.70,8.58,5.63,0.37,25.00,6.18,74.71,20.30
PRI,PUERTO RICO,,23.73,3.52,13.59,3.47,6.17,0.91,22.06,3.24,65.54,11.13
PRK,"KOREA, D.P.R.O.",ASIA,0.53,-19.68,0.00,-10.12,0.65,-4.61,6.50,-12.32,7.68,-46.73
PRT,PORTUGAL,EUROPE,24.92,4.71,15.99,5.87,13.59,8.33,25.00,6.18,79.50,25.09
PRY,PARAGUAY,SOUTH AMERICA,24.00,3.79,5.94,-4.18,0.76,-4.50,24.36,5.54,55.06,0.65
PSE,STATE OF PALESTINE,ASIA,19.46,-0.75,11.22,1.10,1.21,-4.05,23.53,4.71,55.43,1.02
PYF,FRENCH POLYNESIA,,24.00,3.79,14.70,4.58,5.69,0.43,13.94,-4.88,58.33,3.92
QAT,QATAR,ASIA,25.50,5.29,20.70,10.58,2.08,-3.18,23.53,4.71,71.81,17.40
ROU,ROMANIA,EUROPE,24.69,4.48,11.98,1.86,5.70,0.44,25.00,6.18,67.37,12.96
RUS,RUSSIA,ASIA,27.93,7.72,12.90,2.78,10.60,5.34,25.00,6.18,76.43,22.02
RWA,RWANDA,AFRICA,9.82,-10.39,2.40,-7.72,0.05,-5.21,2.70,-16.12,14.97,-39.44
SAU,SAUDI ARABIA,ASIA,29.35,9.14,12.30,2.18,2.06,-3.20,23.53,4.71,67.25,12.84
